id,path,section,parent,depth,dynamic
ai-rituals,/rituals,resources,home,1,0
app-acg-kcc-guild-chain,/whitepapers/acg-kcc-guild-chain,resources,white-papers,2,0
app-acg-net-decentralized-guild-web,/whitepapers/acg-net-decentralized-guild-web,resources,white-papers,2,0
app-acg-review-forge,/whitepapers/acg-review-forge,resources,white-papers,2,0
app-ai-harness-constraint-driven-software-development-for-the,/whitepapers/ai-harness-constraint-driven-software-development-for-the,resources,white-papers,2,0
app-ai-that-pisses-you-off-the-surprisingly-effective-path-to,/whitepapers/ai-that-pisses-you-off-the-surprisingly-effective-path-to,resources,white-papers,2,0
app-ass-os-bloom-prompt-occam,/whitepapers/ass-os-bloom-prompt-occam,resources,white-papers,2,0
app-ass-os-bloom-prompt-the-irrational-universe,/whitepapers/ass-os-bloom-prompt-the-irrational-universe,resources,white-papers,2,0
app-ass-os-bloom-prompt-the-rational-empire,/whitepapers/ass-os-bloom-prompt-the-rational-empire,resources,white-papers,2,0
app-avoid-being-fractally-wrong,/whitepapers/avoid-being-fractally-wrong,resources,white-papers,2,0
app-convergent-governance-topologies-in-specialist-networks-a,/whitepapers/convergent-governance-topologies-in-specialist-networks-a,resources,white-papers,2,0
app-from-correctness-to-integrity-measuring-ai-generated-code,/whitepapers/from-correctness-to-integrity-measuring-ai-generated-code,resources,white-papers,2,0
app-grid-brain,/whitepapers/grid-brain,resources,white-papers,2,0
app-i-ll-burn-toast-and-you-scrape-it-a-hilariously-accurate,/whitepapers/i-ll-burn-toast-and-you-scrape-it-a-hilariously-accurate,resources,white-papers,2,0
app-lightning-factory,/whitepapers/lightning-factory,resources,white-papers,2,0
app-s-a-d,/whitepapers/s-a-d,resources,white-papers,2,0
app-structural-toast-carbonization-a-failure-mode-distinct-from,/whitepapers/structural-toast-carbonization-a-failure-mode-distinct-from,resources,white-papers,2,0
app-the-dog-the-data-scientist-and-the-mrna-vaccine,/whitepapers/the-dog-the-data-scientist-and-the-mrna-vaccine,resources,white-papers,2,0
app-the-harm-equation,/whitepapers/the-harm-equation,resources,white-papers,2,0
app-the-konomi-standard,/whitepapers/the-konomi-standard,resources,white-papers,2,0
app-the-pattern-that-wasn-t-there,/whitepapers/the-pattern-that-wasn-t-there,resources,white-papers,2,0
app-the-prediction-trap,/whitepapers/the-prediction-trap,resources,white-papers,2,0
app-the-shield-of-all-knights-against-bounded-rationality,/whitepapers/the-shield-of-all-knights-against-bounded-rationality,resources,white-papers,2,0
app-toastmasters-scrapers-guild,/whitepapers/toastmasters-scrapers-guild,resources,white-papers,2,0
app-you-re-absolutely-wrong,/whitepapers/you-re-absolutely-wrong,resources,white-papers,2,0
charter,/charter,about,home,1,0
chief-ai-skeptic,/chief-ai-skeptic,about,home,1,0
code-of-conduct,/code-of-conduct,about,home,1,0
flywheel,/flywheel,community,home,1,0
guild-radar,/guild-radar,community,home,1,0
hall-of-fame,/hall-of-fame,recognition,home,1,0
hall-of-shame,/hall-of-shame,recognition,home,1,0
home,/,meta,,1,0
hushbell-full-spec,/hushbell/spec,resources,hushbell,1,0
hushbell,/hushbell,resources,home,1,0
manifesto,/manifesto,about,home,1,0
member-profile,/members/:slug,community,members,1,1
members,/members,community,home,1,0
mission-statement,/mission,about,home,1,0
mob-programming,/mob-programming,resources,home,1,0
p2p,/p2p,community,home,1,0
showcases,/showcases,community,home,1,0
submit,/submit,meta,home,1,0
test,/test,engineering,home,1,0
white-paper-article,/white-papers/:slug,resources,white-papers,1,1
white-papers,/white-papers,resources,home,1,0
